gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
2.628,48,0,1,0,0,0,0,0,1,1,0,580,680,3,1,NA,0,81.66999816894531,1
3.3,28,1,0,0,0,0,0,1,0,0,0,650,610,3,0,0,1,86.660003662109375,1
3.889,42,0,0,0,0,0,0,1,0,0,0,740,740,3,0,0,1,88.30999755859375,1
2.567,12,1,0,0,0,0,0,1,0,1,0,580,570,3,1,NA,0,65.0199966430664,1
3.289,40,0,1,0,0,0,0,0,1,0,0,660,630,3,0,0,1,80,1
3.736,14,1,0,0,0,0,0,1,0,1,0,690,630,2,1,NA,0,0,1
NA,0,1,1,0,0,0,0,0,1,0,1,730,550,3,NA,1,0,78.37995147705078,1
2.333,23,1,0,0,0,0,0,1,0,0,1,700,750,3,NA,1,0,86.660003662109375,1
3.371,50,0,0,0,0,0,0,1,0,1,0,570,610,2,1,NA,0,0,1
3.135,17,1,1,0,0,0,0,0,1,1,0,760,710,3,1,NA,0,83.339996337890625,1
3.586,18,0,0,0,0,0,0,1,0,0,1,630,640,3,NA,1,0,84.98999786376953,1
NA,49,0,NA,NA,NA,NA,NA,NA,NA,0,1,620,590,3,NA,1,0,89.9800033569336,1
3.324,32,1,0,0,0,0,0,1,0,0,1,590,600,3,NA,1,0,66.69000244140625,1
2.45,36,1,0,0,0,0,0,1,0,0,1,490,430,3,NA,1,0,83.37000274658203,1
4,39,1,0,0,0,0,0,1,0,0,0,NA,NA,3,0,0,1,88.33000183105469,1
3.462,34,1,0,0,0,0,0,1,0,0,1,600,610,3,NA,1,0,86.63999938964844,1
3.323,31,0,0,0,0,0,0,1,0,0,0,590,530,3,0,0,1,90,1
4,33,1,NA,NA,NA,NA,NA,NA,NA,1,0,710,580,2,1,NA,0,0,1
3.053,45,0,0,0,0,0,0,1,0,0,0,590,530,3,0,0,1,84.970001220703125,1
2.975,32,1,0,0,0,0,0,1,0,0,1,680,530,3,NA,1,0,73.31999969482422,1
3.644,16,1,0,0,0,0,0,1,0,0,0,650,530,3,0,0,1,85.01000213623047,1
2.246,17,0,0,0,0,0,0,1,0,0,0,690,580,3,0,0,1,75.05999755859375,1
